Country_id,Country,Month
USA6,USA,6
AUSTRALIA6,AUSTRALIA,6
AUSTRALIA6,AUSTRALIA,6
BRAZIL6,BRAZIL,6
USA5,USA,5
USA5,USA,5
USA5,USA,5
USA5,USA,5
USA5,USA,5
SOUTH AFRICA5,SOUTH AFRICA,5
THAILAND4,THAILAND,4
COSTA RICA4,COSTA RICA,4
AUSTRALIA4,AUSTRALIA,4
AUSTRALIA4,AUSTRALIA,4
AUSTRALIA4,AUSTRALIA,4
MALDIVES4,MALDIVES,4
SOUTH AFRICA4,SOUTH AFRICA,4
USA4,USA,4
THAILAND4,THAILAND,4
BRAZIL4,BRAZIL,4
AUSTRALIA4,AUSTRALIA,4
AUSTRALIA4,AUSTRALIA,4
BAHAMAS4,BAHAMAS,4
NEW CALEDONIA4,NEW CALEDONIA,4
BAHAMAS4,BAHAMAS,4
SOUTH AFRICA4,SOUTH AFRICA,4
USA3,USA,3
AUSTRALIA3,AUSTRALIA,3
AUSTRALIA3,AUSTRALIA,3
AUSTRALIA3,AUSTRALIA,3
SOUTH AFRICA2,SOUTH AFRICA,2
AUSTRALIA2,AUSTRALIA,2
AUSTRALIA2,AUSTRALIA,2
ECUADOR2,ECUADOR,2
AUSTRALIA1,AUSTRALIA,1
NEW CALEDONIA1,NEW CALEDONIA,1
AUSTRALIA1,AUSTRALIA,1
AUSTRALIA1,AUSTRALIA,1
BRAZIL1,BRAZIL,1
AUSTRALIA1,AUSTRALIA,1
USA12,USA,12
USA12,USA,12
BAHAMAS12,BAHAMAS,12
COSTA RICA11,COSTA RICA,11
COSTA RICA11,COSTA RICA,11
USA11,USA,11
USA11,USA,11
other11,other,11
AUSTRALIA11,AUSTRALIA,11
CUBA11,CUBA,11
AUSTRALIA10,AUSTRALIA,10
AUSTRALIA10,AUSTRALIA,10
USA10,USA,10
MAURITIUS10,MAURITIUS,10
USA10,USA,10
USA10,USA,10
AUSTRALIA10,AUSTRALIA,10
NEW ZEALAND10,NEW ZEALAND,10
USA10,USA,10
USA10,USA,10
USA10,USA,10
USA9,USA,9
AUSTRALIA9,AUSTRALIA,9
USA9,USA,9
USA9,USA,9
SPAIN9,SPAIN,9
USA9,USA,9
USA9,USA,9
AUSTRALIA9,AUSTRALIA,9
AUSTRALIA9,AUSTRALIA,9
SOLOMON ISLANDS9,SOLOMON ISLANDS,9
SOUTH AFRICA9,SOUTH AFRICA,9
JAPAN9,JAPAN,9
USA9,USA,9
USA9,USA,9
USA9,USA,9
AUSTRALIA8,AUSTRALIA,8
USA8,USA,8
NEW ZEALAND8,NEW ZEALAND,8
USA8,USA,8
BAHAMAS8,BAHAMAS,8
USA8,USA,8
EGYPT8,EGYPT,8
USA7,USA,7
USA7,USA,7
BAHAMAS7,BAHAMAS,7
BAHAMAS7,BAHAMAS,7
"ST HELENA, British overseas territory7","ST HELENA, British overseas territory",7
USA7,USA,7
SPAIN7,SPAIN,7
USA7,USA,7
USA7,USA,7
USA7,USA,7
AUSTRALIA7,AUSTRALIA,7
USA7,USA,7
SOUTH AFRICA7,SOUTH AFRICA,7
USA6,USA,6
USA6,USA,6
USA6,USA,6
REUNION6,REUNION,6
SPAIN6,SPAIN,6
FRENCH POLYNESIA6,FRENCH POLYNESIA,6
