Country,Year,Area,Location,Activity,Sex,Age,Injury,Fatal_Y_N,Species,Month
USA,2018,Georgia,"St. Simon Island, Glynn County",Standing,F,11,Minor injury to left thigh,N,other,6
AUSTRALIA,2018,New South Wales,Arrawarra Headland,Surfing,M,0,Minor injury to lower leg,N,2 m shark,6
AUSTRALIA,2018,New South Wales,"Flat Rock, Ballina",Kite surfing,M,0,"No injury, board bitten",N,other,6
BRAZIL,2018,Pernambuco,"Piedade Beach, Recife",Swimming,M,18,FATAL,Y,Tiger shark,6
USA,2018,Florida,"Lighhouse Point Park, Ponce Inlet, Volusia County",Fishing,M,52,Minor injury to foot. PROVOKED INCIDENT,N,"Lemon shark, 3'",5
USA,2018,Florida,"Cocoa Beach, Brevard  County",Walking,M,15,Lower left leg bitten,N,"Bull shark, 6'",5
USA,2018,Florida,"Daytona Beach, Volusia County",Standing,M,12,Minor injury to foot,N,other,5
USA,2018,South Carolina,"Isle of Palms,  Charleston County",Boogie boarding,M,10,Injuries to lower right leg and foot,N,other,5
USA,2018,South Carolina,"Hilton Head Island, Beaufort County",Swimming,M,10,Severe bite to right forearm,N,other,5
SOUTH AFRICA,2018,Eastern Cape Province,"Nahoon Beach, East London",Surfing,M,0,"Minor injury, marks on board",N,other,5
THAILAND,2018,Hua Hin,Sai Noi Beach,Swimming,M,0,Minor injury to ankle,N,other,4
COSTA RICA,2018,Cocos Island,Manuelita,Scuba diving,M,30,"No injury, shark bit scuba gear",N,Tiger shark,4
AUSTRALIA,2018,Western Australia,Gearys Beach,Surfing,M,0,"No injury, knocked off board by shark",N,other,4
AUSTRALIA,2018,Western Australia,"Surfers Point, Prevelly",Surfing,M,60,"No injury, knocked off board by shark",N,3 m shark,4
AUSTRALIA,2018,Western Australia,"South Point, Gracetown",Surfing,M,0,"No injury, shark struck his leg",N,"White shark, 3.5 m",4
MALDIVES,2018,Alifu Alifu Atoll,Madoogali,Fishing,M,32,5-inch cut to hand,N,Tiger shark,4
SOUTH AFRICA,2018,Western Cape Province,"Robberg Beach, Plettenberg Bay",Paddle-skiing,M,33,"No injury, shark bit hole in ski",N,"White shark, 2.5 m",4
USA,2018,Hawaii,"Shipwreck’s Beach, Keoneloa Bay, Kauai",Body boarding,M,29,Lacerations to right lower leg,N,6' shark,4
THAILAND,2018,Hua Hin,Sai Noi Beach,Swimming,M,54,Lacerations to foot and ankle,N,Juvenile bull shark,4
BRAZIL,2018,Pernambuco,Piedade,Swimming,M,34,"Multiple severe injuries to arms and leg, leg subsequently surgically amputated",N,other,4
AUSTRALIA,2018,Western Australia,"Lefthanders, Margaret River Area",Surfing,M,41,Laceration to right thigh,N,other,4
AUSTRALIA,2018,Western Australia,"Cobblestones, Margaret River Area",Surfing,M,37,Lacerations to legs,N,other,4
BAHAMAS,2018,New Providence,Nirvana Beach,Surfing,M,0,No Injury. Shark swam away with the surf board,N,Tiger shark,4
NEW CALEDONIA,2018,other,"Magenta Beach, Noumea",Windsurfing,UNKNOWN,0,"No injury, shark bit board",N,2 m shark,4
BAHAMAS,2018,other,Bimini,Swimming,M,12,"2 puncture wounds to left foot, abrasion to right foot",N,Bull shark,4
SOUTH AFRICA,2018,Eastern Cape Province,St. Francis Bay,Surfing,M,19,Lacerations to left knee & lower leg,N,White shark,4
USA,2018,Hawaii,Kukio Beach,Stand-Up Paddleboarding,M,25,Injuries to right leg & hand,N,"Tiger shark, 12'",3
AUSTRALIA,2018,Western Australia,Waterman's Bay,Wading,M,10,Minor injuries to legs,N,Wobbegong shark,3
AUSTRALIA,2018,Victoria,Lorne,Swimming,M,69,"No injury, said to have been charged by sharks several times",N,3.5 m shark,3
AUSTRALIA,2018,Victoria,Winkipop,Surfing,M,18,"Minor injury, ankle grazed",N,1.8 m shark,3
