country,year,area,activity,sex,age,fatal_y_n,month,hemisph,Season
USA,2018.0,Georgia,Standing,F,11,N,6,North,summer
USA,2018.0,Florida,Fishing,M,52,N,5,North,spring
USA,2018.0,Florida,Walking,M,15,N,5,North,spring
USA,2018.0,Florida,Standing,M,12,N,5,North,spring
USA,2018.0,South Carolina,Boogie boarding,M,10,N,5,North,spring
USA,2018.0,South Carolina,Swimming,M,10,N,5,North,spring
USA,2018.0,Hawaii,Body boarding,M,29,N,4,North,spring
USA,2018.0,Hawaii,Stand-Up Paddleboarding,M,25,N,3,North,spring
USA,2017.0,Hawaii,Surfing,F,54,N,12,North,winter
USA,2017.0,California,Surfing,F,35,N,12,North,winter
USA,2017.0,California,Spearfishing,M,25,N,11,North,winter
USA,2017.0,Florida,Surfing,F,14,N,11,North,winter
USA,2017.0,Hawaii,Stand-Up Paddleboarding,M,0,N,10,North,fall
USA,2017.0,Florida,Surfing ,M,17,N,10,North,fall
USA,2017.0,Florida,Swimming,F,60,N,10,North,fall
USA,2017.0,Florida,Swimming,M,0,N,10,North,fall
USA,2017.0,Hawaii,Surfing,M,54,N,10,North,fall
USA,2017.0,Hawaii,Snorkeling,F,40,N,10,North,fall
USA,2017.0,Florida,Surfing,M,0,N,9,North,fall
USA,2017.0,Florida,Surfing,M,0,N,9,North,fall
USA,2017.0,Florida,Surfing,M,0,N,9,North,fall
USA,2017.0,Florida,Surfing,M,28,N,9,North,fall
USA,2017.0,Florida,Surfing,M,18,N,9,North,fall
USA,2017.0,Florida,Swimming,M,0,N,9,North,fall
USA,2017.0,Texas,Swimming,F,0,N,9,North,fall
USA,2017.0,Florida,Surfing,M,17,N,9,North,fall
USA,2017.0,Florida,Wading,F,3,N,8,North,summer
USA,2017.0,Massachusetts,SUP,M,69,N,8,North,summer
USA,2017.0,South Carolina,Swimming,M,13,N,8,North,summer
USA,2017.0,Florida,Skimboarding,M,15,N,7,North,summer
USA,2017.0,South Carolina,other,F,12,N,7,North,summer
"ST HELENA, British overseas territory",2017.0,Ascension Island,Surfing,M,37,N,7,South,winter
USA,2017.0,New Jersey,other,F,0,N,7,North,summer
USA,2017.0,Florida,other,F,40,N,7,North,summer
USA,2017.0,California,SUP,M,50,N,7,North,summer
USA,2017.0,Washington,Surfing,M,0,N,7,North,summer
USA,2017.0,Florida,Swimming,M,46,N,7,North,summer
USA,2017.0,South Carolina,Swimming,F,16,N,6,North,summer
USA,2017.0,Florida,Surfing,M,0,N,6,North,summer
USA,2017.0,South Carolina,Swimming,F,14,N,6,North,summer
USA,2017.0,Florida,Surfing,M,19,N,6,North,summer
USA,2017.0,Florida,Spearfishing,M,0,N,6,North,summer
USA,2017.0,Florida,Feeding sharks,M,0,N,5,North,spring
USA,2017.0,California,Swimming,F,0,N,4,North,spring
USA,2017.0,South Carolina,Surfing,F,33,N,4,North,spring
"ST HELENA, British overseas territory",2017.0,Ascension Island,Snorkeling,F,40,N,4,South,fall
USA,2017.0,Florida,other,UNKNOWN,0,N,4,North,spring
USA,2017.0,Hawaii,Surfing,M,28,N,4,North,spring
USA,2017.0,Florida,Surfing,M,17,N,4,North,spring
USA,2017.0,Florida,Surfing,F,0,N,4,North,spring
USA,2017.0,Florida,Surfing,F,35,N,4,North,spring
USA,2017.0,Florida,Paddle boarding,F,10,N,4,North,spring
USA,2017.0,Florida,Swimming,F,21,N,4,North,spring
USA,2017.0,Florida,Swimming,M,16,N,4,North,spring
USA,2017.0,Florida,Swimming,F,51,N,4,North,spring
USA,2017.0,Florida,Swimming,F,17,N,4,North,spring
USA,2017.0,Florida,Surfing,M,58,N,3,North,spring
USA,2017.0,Florida,Swimming,M,22,N,2,North,winter
USA,2017.0,Florida,other,M,Teen,N,1,North,winter
USA,2017.0,Florida,other,M,0,N,1,North,winter
USA,2017.0,Florida,Wading,M,47,N,1,North,winter
USA,2016.0,Florida,Surfing,M,16,N,12,North,winter
USA,2016.0,Hawaii,Floating,F,58,N,11,North,winter
USA,2016.0,Florida,Surfing,M,41,N,10,North,fall
USA,2016.0,Florida,Surfing,M,42,N,10,North,fall
USA,2016.0,Hawaii,Surfing,M,36,N,10,North,fall
USA,2016.0,Hawaii,Snorkeling,F,66,N,10,North,fall
USA,2016.0,Oregon,Surfing,M,29,N,10,North,fall
USA,2016.0,Florida,Surfing,M,21,N,10,North,fall
USA,2016.0,Florida,Surfng,M,32,N,10,North,fall
USA,2016.0,Florida,Surfing,M,16,N,9,North,fall
USA,2016.0,Florida,Surfing,M,36,N,9,North,fall
USA,2016.0,Florida,Surfing,M,43,N,9,North,fall
USA,2016.0,California,Surfing,M,43,N,9,North,fall
USA,2016.0,Florida,Wading,M,60s,N,9,North,fall
USA,2016.0,Hawaii,Swimming,F,51,N,9,North,fall
USA,2016.0,South Carolina,Boogie boarding,F,12,N,9,North,fall
USA,2016.0,Florida,Body boarding,M,9,N,9,North,fall
USA,2016.0,California,Spearfishing,M,22,N,9,North,fall
