Hemisph,Country
South,Admiralty Islands
North ,Afghanistan
North,Akrotiri and Dhekelia
North,Albania
North,Algeria
South,American Samoa
North,Andaman Islands
North,Andorra
South,Angola
North,Anguilla
South,Antarctic and Subantarctic Islands
North,Antigua
South,Argentina
North ,Armenia
North,Aruba
South,Ashmore and Cartier Islands
South,Australia
North,Austria
North ,Azerbaijan
North,Azores
North,Bahamas
North ,Bahrain
North,Bahrein
North ,Bangladesh
North,Barbados
North,Belarus
North,Belgium
North,Belize
North,Benin
North,Bermuda
North ,Bhutan
North,"Bioko, (Equatorial Guinea)"
South,Bolivia
North,Bonaire
North,Bosnia
North,Bosnia and Herzegovina
South,Botswana
South,Bouvet Island (Norway)
South,Brazil
North,British Indian 
South,British New Guinea
North,British Virgin Islands
North,BRITISH WEST INDIES
North ,Brunei
North,Bulgaria
North,Burkina Faso
North,Burma
South,Burundi
North ,Cambodia
North,Cameroon
North,Canada
North,Cape Verde
North,Cayman Islands
North,Ceylon
North,CEYLON (SRI LANKA)
North,Chad
South,Chile
North ,China
South,Christmas Island
South,Cocos (Keeling) Islands
South,Colombia
North,Columbia
South,Comoros
South,Cook Islands
South,Coral Sea Islands
North,Costa Rica
North,Crete
North,Croatia
North,Cuba
North,Curacao
North ,Cyprus
North,Czech Republic
North,Denmark
North,Djibouti
North,Dominica
North,Dominican Republic
South,Easter Island
South,Ecuador
North,Egypt
North,El Salvador
North,England
North,Entirely
South,Equatorial Guinea
North,Eritrea
North,Estonia
South,Eswatini
North,Ethiopia
South,Falkland Islands
North,Faroe Islands
South,Federated States of Micronesia
South,Fiji
North,Finland
North,"Formosa, (Taiwan)"
North,France
South,French Polynesia
South,French Southern and Antarctic Lands
South,Gabon
South,Galapagos Islands
North ,Georgia
North,Germany
North,Ghana
North,Grand Cayman
North,Greece
North,Greenland
North,Grenada
North,Guam
North,Guatemala
North,Guernsey
North,Guinea
North,Guyana
North,"Hainan, (China)"
North,Haiti
North,"Hawaii, (U.S. state)"
South,Heard Island and McDonald Islands
North,Honduras
North ,Hong Kong
North,Hungary
North,Iceland
North ,India
North,Indian Ocean
South,Indonesia
North ,Iran
North ,Iraq
North,Ireland
South,Islas Malvinas
North,Isle of Man
North ,Israel
North,Italy
North,Ivory Coast
North,Jamaica
North,"Jan Mayen, Norway"
North ,Japan
South,Jarvis Island
North,Jersey
North,Johnston Island
North ,Jordan
North,Kaffeklubben Island
North ,Kazakhstan
South,Kenya
South,Kiribati
North,Korea
North ,Kuwait
North ,Kyrgyzstan
North ,Laos
North,Latvia
North ,Lebanon
South,Lesotho
North,Liberia
North,Libya
North,Liechtenstein
North,Lithuania
North,Luxembourg
South,Madagascar
South,Malawi
North ,Malaysia
South,Maldive Islands
South,Maldives
North,Mali
North,Malta
North,"Maluku Islands,"
North,"Maluku Islands, (Indonesia)"
North,Marshall Islands
North,Martinique
North,Mauritania
South,Mauritius
South,Mayotte
North,Mexico
South,Micronesia
North,Moldova
North,Monaco
North ,Mongolia
North,Montenegro
North,Montserrat
North,Morocco
South,Mozambique
North ,Myanmar
South,Namibia
South,Nauru
North ,Nepal
North,Netherlands
North,Netherlands Antilles
North,Nevis
South,New Caledonia
South,New Guinea
South,New Zealand
North,Nicaragua
North,Niger
North,Nigeria
South,Niue
South  ,Norfolk Island
North ,North Korea
North,North Macedonia
North,Northern Mariana Islands
North,Norway
North,Okinawa
North ,Oman
North ,Pakistan
North,Palau
North ,Palestine
North,Panama
South,Papua New Guinea
South,Paraguay
North,Partly
South,Peru
South,Peter I Island
North ,Philippines
South,Pitcairn Islands
North,Poland
North,Portugal
South,Prince Edward Islands
North,Puerto Rico
North ,Qatar
North,"Queen Elizabeth Islands, Canada"
South,Republic of the Congo
South,Reunion
South,Reunion Island
North,Roatan
North,Romania
North,Russia
North,Russia (also a component of Asia)
North,"Russian Arctic islands, Russia"
South,Rwanda
North,Saba
North,Saint Kitts and Nevis
North,Saint Lucia
North,Saint Martin
North,Saint Vincent and the Grenadines
South,Salomon
South,Samoa
North,San Marino
South,Sao Tome and Principe
North ,Saudi Arabia
North,Scotland
North,Senegal
North,Serbia
South,Seychelles
North,Sierra Leone
North ,Singapore
North,Sint Eustatius
North,Sint Maarten
North,Slovakia
North,Slovenia
South,Solomon Islands
South,SOLOMON ISLANDS / VANUATU
South,Somalia
South,South Africa
South,South America
North,South Korea
South,South Orkney Islands
South,South Shetland Islands
North,Spain
North ,Sri Lanka
South,"ST HELENA, British overseas territory"
North,ST. MAARTIN
North,ST. MARTIN
North,Sudan
North,"Sulawesi, (Indonesia)"
North,Suriname
North,"Svalbard, (Norway)"
North,Sweden
North,Switzerland
North,Syria
South,Tahiti
North,Taiwan
North ,Tajikistan
South,Tanzania
North ,Thailand
North,The Balkans
South,The Democratic Republic of the Congo
North,The Gambia
North,The United States
North,Tobago
North,Togo
South,Tokelau
South,Tonga
North,Trinidad & Tobago
North,Trinidad and Tobago
North,Tunisia
North ,Turkey
North ,Turkmenistan
North,Turks & Caicos
North,Turks and Caicos Islands
South,Tuvalu
North,U.S Virgin Islands
South,Uganda
North,Ukraine
North ,United Arab Emirates
North,United Arab Emirates (UAE)
North,United Kingdom
South,Uruguay
North,USA
North ,Uzbekistan
South,Vanuatu
North,Vatican City
North,Venezuela
North ,Vietnam
North,Wales
South,Wallis and Futuna
North,West Indies
North,"Western New Guinea, (Indonesia)"
South,Western Samoa
North ,Yemen
South,Zambia
South,Zimbabwe
