,Country,Month
1,USA,06
3,AUSTRALIA,06
5,AUSTRALIA,06
6,BRAZIL,06
7,USA,05
8,USA,05
9,USA,05
11,USA,05
12,USA,05
15,SOUTH AFRICA,05
17,THAILAND,04
18,COSTA RICA,04
19,AUSTRALIA,04
21,AUSTRALIA,04
22,AUSTRALIA,04
23,MALDIVES,04
24,SOUTH AFRICA,04
25,USA,04
26,THAILAND,04
27,BRAZIL,04
28,AUSTRALIA,04
29,AUSTRALIA,04
30,BAHAMAS,04
32,NEW CALEDONIA,04
33,BAHAMAS,04
34,SOUTH AFRICA,04
35,USA,03
36,AUSTRALIA,03
37,AUSTRALIA,03
38,AUSTRALIA,03
39,SOUTH AFRICA,02
40,AUSTRALIA,02
42,AUSTRALIA,02
45,ECUADOR,02
47,AUSTRALIA,01
48,NEW CALEDONIA,01
49,AUSTRALIA,01
50,AUSTRALIA,01
51,BRAZIL,01
52,AUSTRALIA,01
53,USA,12
54,USA,12
56,BAHAMAS,12
57,COSTA RICA,11
58,COSTA RICA,11
60,USA,11
61,USA,11
62,other,11
63,AUSTRALIA,11
64,CUBA,11
65,AUSTRALIA,10
66,AUSTRALIA,10
67,USA,10
68,MAURITIUS,10
69,USA,10
70,USA,10
71,AUSTRALIA,10
72,NEW ZEALAND,10
73,USA,10
74,USA,10
75,USA,10
77,USA,09
78,AUSTRALIA,09
80,USA,09
81,USA,09
82,SPAIN,09
83,USA,09
87,USA,09
88,AUSTRALIA,09
89,AUSTRALIA,09
90,SOLOMON ISLANDS,09
91,SOUTH AFRICA,09
92,JAPAN,09
93,USA,09
94,USA,09
95,USA,09
96,AUSTRALIA,08
97,USA,08
99,NEW ZEALAND,08
100,USA,08
101,BAHAMAS,08
102,USA,08
103,EGYPT,08
106,USA,07
108,USA,07
109,BAHAMAS,07
110,BAHAMAS,07
111,"ST HELENA, British overseas territory",07
112,USA,07
113,SPAIN,07
114,USA,07
117,USA,07
118,USA,07
119,AUSTRALIA,07
121,USA,07
123,SOUTH AFRICA,07
126,USA,06
127,USA,06
128,USA,06
129,REUNION,06
130,SPAIN,06
131,FRENCH POLYNESIA,06
132,BAHAMAS,06
133,AUSTRALIA,06
134,AUSTRALIA,06
135,USA,06
136,UNITED KINGDOM,06
137,USA,06
138,BAHAMAS,06
140,USA,05
142,UNITED ARAB EMIRATES,05
144,MEXICO,06
146,USA,04
147,SOUTH AFRICA,04
148,USA,04
149,REUNION,04
150,NEW ZEALAND,04
152,"ST HELENA, British overseas territory",04
154,USA,04
155,AUSTRALIA,04
156,USA,04
157,USA,04
158,USA,04
160,USA,04
161,USA,04
162,USA,04
163,USA,04
164,USA,04
165,AUSTRALIA,04
166,USA,04
167,USA,03
168,AUSTRALIA,03
170,PHILIPPINES,03
171,BAHAMAS,03
172,AUSTRALIA,02
173,AUSTRALIA,02
174,REUNION,02
175,AUSTRALIA,02
176,USA,02
180,BAHAMAS,02
181,BRAZIL,01
182,USA,01
183,AUSTRALIA,01
184,AUSTRALIA,01
185,USA,01
186,INDONESIA,01
188,USA,01
190,USA,12
191,AUSTRALIA,12
192,SOUTH AFRICA,12
193,AUSTRALIA,12
194,FRENCH POLYNESIA,12
197,AUSTRALIA,12
199,USA,11
200,USA,10
201,USA,10
202,AUSTRALIA,10
203,USA,10
204,AUSTRALIA,10
205,USA,10
207,AUSTRALIA,10
208,USA,10
209,USA,10
210,USA,10
211,AUSTRALIA,09
212,USA,09
213,USA,09
214,USA,09
215,USA,09
216,AUSTRALIA,09
217,AUSTRALIA,09
219,USA,09
220,USA,09
221,NEW CALEDONIA,09
222,USA,09
223,AUSTRALIA,09
224,USA,09
225,USA,09
227,USA,08
228,USA,08
229,REUNION,08
230,USA,08
231,BAHAMAS,08
232,USA,08
233,USA,08
234,SPAIN,07
235,CHINA,07
238,AUSTRALIA,07
239,JAPAN,07
240,AUSTRALIA,07
241,BAHAMAS,07
244,USA,07
245,USA,07
246,USA,07
247,USA,07
248,BAHAMAS,07
249,SPAIN,07
253,USA,07
255,USA,06
256,USA,06
257,COLUMBIA,06
258,SOUTH AFRICA,06
259,USA,06
260,USA,06
261,USA,06
263,USA,06
264,USA,06
266,USA,06
267,AUSTRALIA,06
268,EGYPT,06
269,AUSTRALIA,06
270,NEW CALEDONIA,06
271,AUSTRALIA,05
272,USA,05
273,USA,05
274,USA,05
275,USA,05
276,USA,05
277,USA,05
279,USA,05
281,INDONESIA,04
282,USA,04
283,SOUTH AFRICA,04
284,AUSTRALIA,04
287,USA,04
288,NEW CALEDONIA,04
290,USA,04
292,USA,03
293,AUSTRALIA,03
294,USA,03
295,AUSTRALIA,03
298,USA,03
299,Fiji,03
300,USA,03
301,AUSTRALIA,03
302,BRAZIL,03
303,NEW CALEDONIA,02
304,NEW CALEDONIA,02
305,DOMINICAN REPUBLIC,02
308,AUSTRALIA,02
309,AUSTRALIA,02
310,BRAZIL,02
312,USA,01
313,USA,01
314,USA,01
316,USA,01
317,AUSTRALIA,01
318,AUSTRALIA,01
319,AUSTRALIA,01
321,SPAIN,12
322,USA,12
323,AUSTRALIA,12
324,BRAZIL,12
325,ARUBA,12
327,BAHAMAS,12
328,SOUTH AFRICA,12
329,ECUADOR,11
330,USA,11
331,USA,11
332,USA,11
333,AUSTRALIA,11
335,USA,11
336,USA,11
337,MOZAMBIQUE,11
338,AUSTRALIA,10
339,USA,10
340,SOUTH AFRICA,10
341,USA,10
342,USA,10
343,MOZAMBIQUE,10
345,USA,10
347,USA,10
348,USA,10
349,MOZAMBIQUE,10
350,AUSTRALIA,10
351,USA,10
352,USA,10
353,USA,10
354,USA,09
355,AUSTRALIA,09
357,USA,09
358,USA,09
359,USA,09
360,USA,09
362,USA,09
363,USA,09
364,AUSTRALIA,09
365,USA,09
367,AUSTRALIA,09
368,USA,09
369,THAILAND,09
370,FIJI,09
371,USA,08
372,USA,08
374,AUSTRALIA,08
375,USA,08
376,USA,08
380,AUSTRALIA,07
