Country,Date,Year,Type,Area,Location,Activity,Sex ,Age,Injury,Fatal_Y_N,Time,Species ,Month
USA,6/18/2018,2018.0,Unprovoked,Georgia,"St. Simon Island, Glynn County",Standing,F,11,Minor injury to left thigh,N,14h00  -15h00,,06
AUSTRALIA,6/8/2018,2018.0,Unprovoked,New South Wales,Arrawarra Headland,Surfing,M,0,Minor injury to lower leg,N,,2 m shark,06
AUSTRALIA,6/3/2018,2018.0,Unprovoked,New South Wales,"Flat Rock, Ballina",Kite surfing,M,0,"No injury, board bitten",N,,,06
BRAZIL,6/3/2018,2018.0,Unprovoked,Pernambuco,"Piedade Beach, Recife",Swimming,M,18,FATAL,Y,Late afternoon,Tiger shark,06
USA,5/27/2018,2018.0,Unprovoked,Florida,"Lighhouse Point Park, Ponce Inlet, Volusia County",Fishing,M,52,Minor injury to foot. PROVOKED INCIDENT,N,,"Lemon shark, 3'",05
USA,5/26/2018,2018.0,Unprovoked,Florida,"Cocoa Beach, Brevard  County",Walking,M,15,Lower left leg bitten,N,17h00,"Bull shark, 6'",05
USA,5/26/2018,2018.0,Unprovoked,Florida,"Daytona Beach, Volusia County",Standing,M,12,Minor injury to foot,N,14h00,,05
USA,5/21/2018,2018.0,Unprovoked,South Carolina,"Isle of Palms,  Charleston County",Boogie boarding,M,10,Injuries to lower right leg and foot,N,,,05
USA,5/13/2018,2018.0,Unprovoked,South Carolina,"Hilton Head Island, Beaufort County",Swimming,M,10,Severe bite to right forearm,N,15h00,,05
SOUTH AFRICA,5/12/2018,2018.0,Unprovoked,Eastern Cape Province,"Nahoon Beach, East London",Surfing,M,0,"Minor injury, marks on board",N,11h00,,05
THAILAND,Reported 30-Apr-2018,2018.0,Unprovoked,Hua Hin,Sai Noi Beach,Swimming,M,0,Minor injury to ankle,N,,,04
COSTA RICA,4/28/2018,2018.0,Unprovoked,Cocos Island,Manuelita,Scuba diving,M,30,"No injury, shark bit scuba gear",N,10h40,Tiger shark,04
AUSTRALIA,4/28/2018,2018.0,Unprovoked,Western Australia,Gearys Beach,Surfing,M,0,"No injury, knocked off board by shark",N,16h50,,04
AUSTRALIA,4/25/2018,2018.0,Unprovoked,Western Australia,"Surfers Point, Prevelly",Surfing,M,60,"No injury, knocked off board by shark",N,09h30,3 m shark,04
AUSTRALIA,4/24/2018,2018.0,Unprovoked,Western Australia,"South Point, Gracetown",Surfing,M,0,"No injury, shark struck his leg",N,Afternoon,"White shark, 3.5 m",04
MALDIVES,4/23/2018,2018.0,Unprovoked,Alifu Alifu Atoll,Madoogali,Fishing,M,32,5-inch cut to hand,N,21h50,Tiger shark,04
SOUTH AFRICA,4/22/2018,2018.0,Unprovoked,Western Cape Province,"Robberg Beach, Plettenberg Bay",Paddle-skiing,M,33,"No injury, shark bit hole in ski",N,09h40,"White shark, 2.5 m",04
USA,4/19/2018,2018.0,Unprovoked,Hawaii,"Shipwreck’s Beach, Keoneloa Bay, Kauai",Body boarding,M,29,Lacerations to right lower leg,N,,6' shark,04
THAILAND,4/15/2018,2018.0,Unprovoked,Hua Hin,Sai Noi Beach,Swimming,M,54,Lacerations to foot and ankle,N,,Juvenile bull shark,04
BRAZIL,4/15/2018,2018.0,Unprovoked,Pernambuco,Piedade,Swimming,M,34,"Multiple severe injuries to arms and leg, leg subsequently surgically amputated",N,,,04
AUSTRALIA,4/15/2018,2018.0,Unprovoked,Western Australia,"Lefthanders, Margaret River Area",Surfing,M,41,Laceration to right thigh,N,,,04
AUSTRALIA,4/15/2018,2018.0,Unprovoked,Western Australia,"Cobblestones, Margaret River Area",Surfing,M,37,Lacerations to legs,N,08h00,,04
BAHAMAS,4/14/2018,2018.0,Unprovoked,New Providence,Nirvana Beach,Surfing,M,0,No Injury. Shark swam away with the surf board,N,09h30,Tiger shark,04
NEW CALEDONIA,4/9/2018,2018.0,Unprovoked,other,"Magenta Beach, Noumea",Windsurfing,UNKNOWN,0,"No injury, shark bit board",N,17h00,2 m shark,04
BAHAMAS,4/5/2018,2018.0,Unprovoked,other,Bimini,Swimming,M,12,"2 puncture wounds to left foot, abrasion to right foot",N,18h00,Bull shark,04
SOUTH AFRICA,4/3/2018,2018.0,Unprovoked,Eastern Cape Province,St. Francis Bay,Surfing,M,19,Lacerations to left knee & lower leg,N,15h00,White shark,04
USA,3/31/2018,2018.0,Unprovoked,Hawaii,Kukio Beach,Stand-Up Paddleboarding,M,25,Injuries to right leg & hand,N,09h30,"Tiger shark, 12'",03
AUSTRALIA,3/14/2018,2018.0,Unprovoked,Western Australia,Waterman's Bay,Wading,M,10,Minor injuries to legs,N,17h35,Wobbegong shark,03
AUSTRALIA,3/9/2018,2018.0,Unprovoked,Victoria,Lorne,Swimming,M,69,"No injury, said to have been charged by sharks several times",N,15h30,3.5 m shark,03
AUSTRALIA,3/9/2018,2018.0,Unprovoked,Victoria,Winkipop,Surfing,M,18,"Minor injury, ankle grazed",N,07h30,1.8 m shark,03
SOUTH AFRICA,2/24/2018,2018.0,Unprovoked,KwaZulu-Natal,Durban,Scuba Diving,M,38, The shark & man simply collided; neither were injured,N,,Blacktip shark,02
AUSTRALIA,2/23/2018,2018.0,Unprovoked,New South Wales,"Little Congwong Beach, La Perouse ",Swimming,F,55,Laceratons to right leg & foot,N,"19h00, Dusk","Juvenile white shark,  2.7 to 3.2 m",02
AUSTRALIA,2/15/2018,2018.0,Unprovoked,New South Wales,"Surf Beach, Kiama",Walking,M,35,Puncture wounds to leff foot & lower leg,N,16h00,"Bull shark, 2 m",02
ECUADOR,2/3/2018,2018.0,Unprovoked,Galapagos Islands,Santa Fe Island,Snorkeling,M,45,Injuries to right foot,N,,Galapagos shark?,02
AUSTRALIA,1/28/2018,2018.0,Unprovoked,Western Australia,Cone Bay,other,M,18,Injuries to right leg,N,08h00,Bull shark,01
NEW CALEDONIA,1/21/2018,2018.0,Unprovoked,other,Nouville,Spearfishing,M,40s,Injuries to abdomen and arm,N,15h30,"Bull shark, 3 m ",01
AUSTRALIA,1/14/2018,2018.0,Unprovoked,Queensland,Lizard Island,Diving,M,0,Severe laceration to left forearm,N,15h01,Grey reef shark. 2 m,01
AUSTRALIA,1/13/2018,2018.0,Unprovoked,New South Wales,Martin Islet,Free diving,M,28,"No injury, shark took his swimfin",N,,"White shark, 3.5 m",01
BRAZIL,1/12/2018,2018.0,Unprovoked,Fernando de Noronha,Conceicao Beach,Surfing,M,20,Minor injury to left forearm,N,Late afternoon,small shark,01
AUSTRALIA,1/5/2018,2018.0,Unprovoked,Western Australia,"South Point, Gracetown",Surfing,M,0,Foot bitten,N,,Wobbegong shark?,01
USA,12/31/2017,2017.0,Unprovoked,Hawaii,"Hultin's Beach, Oahu",Surfing,F,54,Severe lacerations to left thigh & knee,N,18h00,Tiger shark,12
USA,12/30/2017,2017.0,Unprovoked,California,"Drakes Estero, Point Reyes, Marin County",Surfing,F,35,Foot bitten,N,12h00,,12
BAHAMAS,12/9/2017,2017.0,Unprovoked,other,other,Snorkeling,F,25,Minor injury to arm,N,,Nurse shark. 5',12
COSTA RICA,11/30/2017,2017.0,Unprovoked,Cocos Island,Manuelita,Scuba Diving,M,26,Serious injury to leg,N,,"Tiger shark, female",11
COSTA RICA,11/30/2017,2017.0,Unprovoked,Cocos Island,Manuelita,Scuba diving,F,49,FATAL,Y,,"Tiger shark, female",11
USA,11/24/2017,2017.0,Unprovoked,California,"Stillwater Cove, Monterey County",Spearfishing,M,25,Right leg bitten,N,13h45,"White shark, 4.6 m",11
USA,11/18/2017,2017.0,Unprovoked,Florida,"Floridana Beach, Brevard County",Surfing,F,14,Heel bitten,N,Late afternoon,,11
other,Reported 13-Nov-2017,2017.0,Unprovoked,other,other,Surfing,M,24,Puncture wounds to feet,N,,,11
AUSTRALIA,11/13/2017,2017.0,Unprovoked,New South Wales,Avoca Beach,Surfing,M,25,Puncture wounds to left shoulder,N,16h00,2 m shark,11
CUBA,11/4/2017,2017.0,Unprovoked,Holquin Province,Guardalavaca Beach,Night bathing,M,22,FATAL,Y,23h30,Tiger shark,11
AUSTRALIA,Reported 31-Oct-2017,2017.0,Unprovoked,Queensland,Magnetic Island,Snorkeling,M,7,Calf injured,N,,Cookiecutter shark,10
AUSTRALIA,10/28/2017,2017.0,Unprovoked,New South Wales,Birubi Point,Surfing,M,31,Minor injury to foot,N,09h00,"Wobbegong shark, 1 m",10
USA,10/26/2017,2017.0,Unprovoked,Hawaii,"White Plains Beach, Oahu",Stand-Up Paddleboarding,M,0,No injury but shark bit SUP,N,15h00,,10
MAURITIUS,10/23/2017,2017.0,Unprovoked,Pamplemousses ,Le Goulet,Swimming,M,0,Minor injury to foot,N,Afternoon,,10
USA,10/23/2017,2017.0,Unprovoked,Florida,"Juno Beach, Palm Beach County",Surfing ,M,17,Lacerations to left foot,N,17h00,,10
USA,10/23/2017,2017.0,Unprovoked,Florida,"Ocean Reef Park, Singer Island, Palm Beach County",Swimming,F,60,Severe lacerations to left hand & wrist,N,08h00,,10
AUSTRALIA,10/22/2017,2017.0,Unprovoked,South Australia,Normanville,Kayaking / Fishing,F,15,Minor injuries,N,Afternoon,"White shark, 4.5 m",10
NEW ZEALAND,10/21/2017,2017.0,Unprovoked,North Island,"Off Tapuna Beach, Auckand",Kayaking,M,0,"No injury, shark shook kayak x3 ",N,09h00,2 m shark,10
USA,10/18/2017,2017.0,Unprovoked,Florida,"Lantana Beach, Palm Beach County",Swimming,M,0,Puncture wounds & lacerations to foot,N,14h30,"Spinner shark, 4 to 5 feet",10
USA,10/9/2017,2017.0,Unprovoked,Hawaii,"Davidsons Beach, Kekaha, Kauai",Surfing,M,54,Lacerations to left hand,N,18h30,"Tiger shark, 8 to 10 feet",10
USA,10/5/2017,2017.0,Unprovoked,Hawaii,"Kama‘ole Beach Park, Maui ",Snorkeling,F,40,Abrasions,N,12h30,8' shark,10
USA,9/25/2017,2017.0,Unprovoked,Florida,"Hanna Park, Jacksonville, Duval County",Surfing,M,0,Lacerations to lower left leg and foot,N,Morning,5' shark,09
AUSTRALIA,9/25/2017,2017.0,Unprovoked,Western Australia,Gracetown,Surfing,M,0,"No injury, board damaged by shark",N,18h00,"White shark, 3.5 m",09
USA,9/24/2017,2017.0,Unprovoked,Florida,Fort Worth,Surfing,M,0,Laceration to upper arm,N,14h00,4' to 5' shark,09
USA,9/20/2017,2017.0,Unprovoked,Florida,Palm Beach County,Surfing,M,0,Minor lacerations to sole of left foot,N,Morning,,09
SPAIN,9/16/2017,2017.0,Unprovoked,Canary Islands,Gran Canaria ,Body surfing,M,13,Lacerations to right foot,N,,"Porbeagle, 1.5 m",09
USA,9/16/2017,2017.0,Unprovoked,Florida,"Ponce Inlet, Volusia County",Surfing,M,28,Lacerations to left foot,N,16h30,,09
USA,9/13/2017,2017.0,Unprovoked,Florida,"Ponce Inlet, Volusia County",Surfing,M,18,Lacerations to left foot,N,18h45,5' to 6' shark,09
AUSTRALIA,9/10/2017,2017.0,Unprovoked,Westerm Australia,Sam's Creek area,Swimming,M,0,Minor injuries,N,15h00,,09
AUSTRALIA,9/10/2017,2017.0,Unprovoked,New South Wales,Iluka Beach,Surfing,M,35,Minor lacerations to right hip,N,06h00,"White shark, 3 to 3.5m ",09
SOLOMON ISLANDS,Reported 06-Sep-2017,2017.0,Unprovoked,other,Owarigi Island,Spearfishing,M,0,Foot bitten,N,,,09
SOUTH AFRICA,9/3/2017,2017.0,Unprovoked,Western Cape Province,Dyer Island,"Swimming, poaching abalone",M,0,FATAL,Y,Morning,,09
JAPAN,9/3/2017,2017.0,Unprovoked,Shizuoka Prefecture,Iwata City,Surfing,M,42,Injury to ankle & feet,N,10h00,,09
USA,9/2/2017,2017.0,Unprovoked,Florida,"Marathon, Monroe County",Swimming,M,0,Lacerations to abdomen,N,,Nurse shark,09
USA,9/2/2017,2017.0,Unprovoked,Texas,"South Padre Island, Cameron County",Swimming,F,0,Lacerations to foot,N,,,09
USA,9/2/2017,2017.0,Unprovoked,Florida,"New Smyrna Beach, Volusia County",Surfing,M,17,Minor injury to right hand,N,10h44,,09
AUSTRALIA,8/29/2017,2017.0,Unprovoked,Victoria,Cathedral Rock,Surfing,M,37,"No injury, board bitten",N,10h30,"White shark, 3 m",08
USA,8/27/2017,2017.0,Unprovoked,Florida,Bathtub Beach ,Wading,F,3,Leg injured,N,13h19,,08
NEW ZEALAND,8/26/2017,2017.0,Unprovoked,North Island,Off Tutukaka,Canoeing,M,0,"No injury, shark bit canoe",N,,,08
USA,8/23/2017,2017.0,Unprovoked,Massachusetts,"Marconi Beach, Wellfleet, Barnstable County",SUP,M,69,Not injured by shark but board bitten,N,10h00,"White shark, 5' to 7'",08
BAHAMAS,8/18/2017,2017.0,Unprovoked,other,other,Spearfishing,M,0,Hand injured,N,15h00,5' shark,08
USA,8/10/2017,2017.0,Unprovoked,South Carolina,"Sea Pines Resort, Hilton Head Island, Beaufort County",Swimming,M,13,Minor cuts to sole & toes of left foot,N,13h30,Possibly a juvenile blacktip shark,08
EGYPT,8/5/2017,2017.0,Unprovoked,Red Sea Protectorate,Marsa Ghalib,Snorkeling,F,20,Bite to right leg/hip,N,,"Oceanic whitetip shark, 1.8 to 2 m",08
USA,7/31/2017,2017.0,Unprovoked,Florida,"Jacksonvlle, Duval County",Skimboarding,M,15,Lacerations to lower leg,N,18h30,,07
USA,7/29/2017,2017.0,Unprovoked,South Carolina,"DeBordieu Colony, Georgetown County",other,F,12,Bite to left thigh / minor injury,N,Afternoon,,07
BAHAMAS,7/27/2017,2017.0,Unprovoked,New Providence District,Rose Island,Snorkeling,F,0,Foot & ankle injured,N,,,07
BAHAMAS,Reported 26-Jul-2017,2017.0,Unprovoked,40 miles off Grand Bahama Island,other,Spearfishing,M,0,Severe lacerations to left hand,N,,,07
"ST HELENA, British overseas territory",7/24/2017,2017.0,Unprovoked,Ascension Island,English Bay,Surfing,M,37,Torso bitten,N,17h00,,07
USA,7/23/2017,2017.0,Unprovoked,New Jersey,Ventnor,other,F,0,Minor injury to hand,N,,Sandtiger shark  2',07
SPAIN,7/23/2017,2017.0,Unprovoked,Majorca,"Estanys Beach, Colonia de Sant",Swimming,F,0,Abrasion to arm from shark's rough skin,N,Afternoon,Blue shark 6',07
USA,7/22/2017,2017.0,Unprovoked,Florida,"Snipes Point, Monroe County",other,F,40,Foot bitten,N,12h30,"""A small shark""",07
USA,7/20/2017,2017.0,Unprovoked,California,"Seal Rock, Goleta Beach, Santa Barbara",SUP,M,50,"No injury, shark bit paddleboard",N,07h45,"White shark, 8' to 10'",07
USA,7/14/2017,2017.0,Unprovoked,Washington,"South Beach, Westport, Grays Harbor County",Surfing,M,0,Pulled off board by shark but no injury,N,18h30,"White shark, 9'",07
