Country,Year,Area,Activity,Sex,Age,Fatal_Y_N,month,hemisph,Season
USA,2018,Georgia,Standing,F,11,N,6,North,summer
AUSTRALIA,2018,New South Wales,Surfing,M,0,N,6,South,winter
AUSTRALIA,2018,New South Wales,Kite surfing,M,0,N,6,South,winter
BRAZIL,2018,Pernambuco,Swimming,M,18,Y,6,South,winter
USA,2018,Florida,Fishing,M,52,N,5,North,spring
USA,2018,Florida,Walking,M,15,N,5,North,spring
USA,2018,Florida,Standing,M,12,N,5,North,spring
USA,2018,South Carolina,Boogie boarding,M,10,N,5,North,spring
USA,2018,South Carolina,Swimming,M,10,N,5,North,spring
SOUTH AFRICA,2018,Eastern Cape Province,Surfing,M,0,N,5,South,fall
COSTA RICA,2018,Cocos Island,Scuba diving,M,30,N,4,North,spring
AUSTRALIA,2018,Western Australia,Surfing,M,0,N,4,South,fall
AUSTRALIA,2018,Western Australia,Surfing,M,60,N,4,South,fall
AUSTRALIA,2018,Western Australia,Surfing,M,0,N,4,South,fall
MALDIVES,2018,Alifu Alifu Atoll,Fishing,M,32,N,4,South,fall
SOUTH AFRICA,2018,Western Cape Province,Paddle-skiing,M,33,N,4,South,fall
USA,2018,Hawaii,Body boarding,M,29,N,4,North,spring
BRAZIL,2018,Pernambuco,Swimming,M,34,N,4,South,fall
AUSTRALIA,2018,Western Australia,Surfing,M,41,N,4,South,fall
AUSTRALIA,2018,Western Australia,Surfing,M,37,N,4,South,fall
BAHAMAS,2018,New Providence,Surfing,M,0,N,4,North,spring
NEW CALEDONIA,2018,other,Windsurfing,UNKNOWN,0,N,4,South,fall
BAHAMAS,2018,other,Swimming,M,12,N,4,North,spring
SOUTH AFRICA,2018,Eastern Cape Province,Surfing,M,19,N,4,South,fall
USA,2018,Hawaii,Stand-Up Paddleboarding,M,25,N,3,North,spring
AUSTRALIA,2018,Western Australia,Wading,M,10,N,3,South,fall
AUSTRALIA,2018,Victoria,Swimming,M,69,N,3,South,fall
AUSTRALIA,2018,Victoria,Surfing,M,18,N,3,South,fall
